

89100,89000,89000,89000,89000,118000,124000,134328.24,136218,139000,139000,139500,139500,139500,139500,139500,139000,139500,148369.61,148369.61,140000,139500,139000,114000
120000,120000,120000,120000,120000,131000,131000,131000,135000,135100,135100,142000,140000,140000,140000,140000,140000,135100,160000,172256.68,160000,140000,135100,131000
121073.74,118269,110000,110000,120309.68,127501.3,127501.3,128000,131000,131000,131800,131800,131800,131800,131800,131800,131800,131800,135000,136000,134500,131800,131000,127501.3
129000,129000,129000,129000,129000,131000,135000,155000,160000,160000,164128.64,164128.64,164128.64,164128.64,164128.64,164128.64,164128.64,164128.64,164128.64,164128.64,164128.64,164128.64,160000,134000
128900,128500,128500,128500,128500,128900,128900,128900,129200,130795.41,135000,142000,142000,135000,130795.41,130795.41,129200,129200,155000,157468,155000,137000,129200,128900
125000,125000,124000,124000,124000,124000,124000,125000,125000,125000,125200,125200,125200,125200,125200,125200,125200,125200,135000,140000,140000,134500,125200,125000
125000,124000,124000,124000,125000,128000,133500,134950,135000,135000,136017,139500,139500,139500,139500,139500,139500,139500,157468,160000,157468,139500,135000,128000
133000,133000,133000,133000,133000,134950,134950,135000,137000,140000,146067.95,158073,156547,149001,158073,158073,158073,156547,174425.17,174425.17,174425.17,160000,140000,134950
85000,83724.67,80000,80000,85000,121093.2,122000,124000,126000,131000,132896,133000,132896,132896,133000,133000,132896,132896,135000,135000,134935,133000,131000,121093.2
125036.96,125036.96,125036.96,125036.96,125036.96,129000,129563.54,132896,133200,133200,134500,134500,134500,134500,134500,134500,134500,134500,155048.25,160000,154527,134500,133200,126000
133000,132800,132800,132800,133000,134500,135000,143000,156059.04,156059.04,160000,181755,180000,167230,180000,180000,180000,180000,184829.05,184829.05,184829.05,181755,156059.04,134500
122000,90000,90000,90000,90000,122000,122000,125000,125400,125400,126000,126000,126000,125400,125400,125400,125400,125400,133000,136000,133000,129000,125400,125000
100000,100000,100000,90000,90000,90000,90000,100000,100000,115000,115000,120000,122000,122000,115000,115000,115000,122000,133000,133000,133000,125000,123000,100000
91000,91000,91000,91000,91000,91000,91000,91000,114000,119000,121000,124000,124000,124000,124000,124000,124000,124000,133000,138000,133000,132500,124000,114000
119000,115000,115000,115000,119000,121500,126450.34,126450.34,127662.59,127662.59,127662.59,127662.59,127662.59,127662.59,127662.59,127662.59,127662.59,127662.59,141000,145000,141000,127662.59,127662.59,121500
117900,114000,114000,114000,114000,119000,120000,135936.56,141000,141000,145000,169224,169033,167230,169033,169033,167230,145000,180000,182501.93,174362,167230,141000,117900
94000,93000,93000,93000,93000,94000,95000,97000,105000,105000,105000,115000,115000,115000,115000,115000,115000,115000,120026.44,141000,118594.03,115000,105000,94000
94000,94000,94000,94000,94000,98000,99000,99000,99000,103000,104000,115000,109000,109000,115000,109000,109000,109000,166093.04,166093.04,166093.04,109000,100000,95000
94000,94000,94000,94000,94000,94000,94000,94500,94500,96000,98000,119537.56,98000,96000,96000,95000,94500,96000,119537.56,119537.56,119537.56,119537.56,95000,94500
93386.46,93386.46,93386.46,93386.46,93386.46,93386.46,93386.46,93386.46,93386.46,93386.46,93386.46,94000,94000,94000,93386.46,93386.46,93386.46,94000,94300,96000,96000,94300,94000,93386.46
88400,75000,75000,75000,88400,88752.2,88752.2,88752.2,88752.2,88752.2,88752.2,94700,89500,88752.2,89900,89900,88752.2,89500,135313.55,135313.55,135313.55,94700,88752.2,88752.2
