1
EMGESA S.A. E.S.P.,7,129,29688.91,ANTIOQUI,BOGOTA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,140,239,79597.67,SANCARLO,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,185,132,123496.11,VALLECAU,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,186,32,108711.16,BOGOTA,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,116,269,59606.33,HUILACAQ,GCM
ELECTRIFICADORA DEL META S.A. E.S.P.,258,20,29688.91,ANTIOQUI,META
ISAGEN S.A. E.S.P.,34,8,68944.93,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,42,633,68944.93,ANTIOQUI,NORDESTE
ELECTRIFICADORA DE SANTANDER S.A.,278,14,68944.93,ANTIOQUI,COROZO
ISAGEN S.A. E.S.P.,291,12,46569.69,BOGOTA,CUATRICENTENARIO
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,84,349,103040.16,ANTIOQUI,ATLANTIC
EMGESA S.A. E.S.P.,0,423,23276.27,ANTIOQUI,BOGOTA
EMGESA S.A. E.S.P.,7,129,23276.27,ANTIOQUI,BOGOTA
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,141,60,93281.31,ANTIOQUI,BOLIVAR
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,144,137,93281.31,ANTIOQUI,BOLIVAR
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,152,41,70005.04,BOGOTA,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,175,33,77757.82,NORDESTE,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,176,20,77757.82,NORDESTE,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,186,41,117778.06,BOGOTA,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,187,45,77757.82,NORDESTE,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,188,22,117778.06,BOGOTA,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,101,309,51130.16,BOGOTA,GCM
ELECTRIFICADORA DEL META S.A. E.S.P.,258,97,23276.27,ANTIOQUI,META
ISAGEN S.A. E.S.P.,35,90,50429.46,SANCARLO,NORDESTE
ISAGEN S.A. E.S.P.,36,269,63296.51,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,41,151,63296.51,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,46,109,63296.51,ANTIOQUI,NORDESTE
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,85,118,96263.24,PAGUA,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,92,217,101088.24,CERROMAT,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,96,6,99671.61,HUILACAQ,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,146,17,88479.07,HUILACAQ,BOLIVAR
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,151,119,38665.81,NORDESTE,BOLIVAR
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,153,96,38665.81,NORDESTE,BOLIVAR
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,184,112,148946.03,ANTIOQUI,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,189,41,139862.13,BOGOTA,CORDOSUC
GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,101,298,63422.89,BOGOTA,GCM
ISAGEN S.A. E.S.P.,35,233,49103.37,SANCARLO,NORDESTE
ISAGEN S.A. E.S.P.,36,328,55488.79,ANTIOQUI,NORDESTE
ISAGEN S.A. E.S.P.,40,1,46404.89,BOGOTA,NORDESTE
ISAGEN S.A. E.S.P.,298,12,64149.08,LAMIEL,CUATRICENTENARIO
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,82,127,79338.12,SANCARLO,ATLANTIC
ENERGIA EMPRESARIAL DE LA COSTA S.A. E.S.P.,87,198,31943.2,NORDESTE,ATLANTIC
